entity_type,id,name,slug,main_category,secondary_categories,short_description,full_description,city,country,address,latitude,longitude,google_maps_url,instagram_url,facebook_url,website_url,whatsapp,phone,opening_hours,payment_methods,parking_info,has_air_conditioning,has_restroom,sells_wholesale,ships_to_brazil,warranty_info,recommended_products,brands,tags,frontier_score,price_score,trust_score,variety_score,service_score,warranty_score,location_score,parking_score,wholesale_score,review_summary,frontier_note,is_featured,is_partner,is_premium,status,last_verified_at,segment,description,minimum_order,product_categories,cuisine_type,price_range,best_for,distance_to_microcentro,amenities,locations,security_level,covered,type,icon,color,is_active,order,title,objective,cover_image
stores,store-shopping-china,Shopping China,shopping-china,Tecnologia,"Perfumes,Casa","Loja âncora para tecnologia, perfumaria e compras de ticket alto.","Operação robusta e conhecida por reunir categorias estratégicas em uma estrutura grande, prática e confiável para quem quer fazer várias compras no mesmo lugar.",Ciudad del Este,Paraguai,"Avenida Monseñor Rodríguez, Ciudad del Este",,,https://maps.google.com/?q=Shopping+China+Ciudad+del+Este,https://instagram.com/shoppingchina,,https://shoppingchina.com.py,to_verify,,"Seg a sáb, 07:00-16:30","Cartão,Dinheiro,Dólar,Guarani",Estacionamento amplo com fluxo intenso em horários de pico.,TRUE,TRUE,FALSE,FALSE,to_verify,"iPhone,Perfumes importados,Whisky,Fones premium","Apple,Samsung,Dior,Carolina Herrera","premium,primeira viagem,tecnologia,perfumes",9.2,4.2,4.8,4.9,4.1,4.3,4.6,4.4,3.6,Excelente para centralizar compras com segurança e variedade.,Boa entrada para primeira viagem e roteiro premium.,TRUE,FALSE,FALSE,review,to_verify,,,,,,,,,,,,,,,,,,,,
stores,store-cell-shop,Cell Shop,cell-shop,Tecnologia,"Primeira Viagem,Atacado",Referência em eletrônicos e acessórios com operação conhecida do público brasileiro.,"Boa escolha para compras de tecnologia com ambiente organizado, variedade de acessórios e percepção alta de confiança para comparação no mesmo dia.",Ciudad del Este,Paraguai,"Shopping Paris, Ciudad del Este",,,https://maps.google.com/?q=Cell+Shop+Ciudad+del+Este,https://instagram.com/cellshopimportados,,https://cellshop.com.py,to_verify,,"Seg a sáb, 07:00-16:00","Cartão,Dinheiro,Dólar",Estacionamento coberto no complexo.,TRUE,TRUE,TRUE,FALSE,to_verify,"iPhone,Apple Watch,Fones Bluetooth,Acessórios MagSafe","Apple,Anker,JBL","iphone,apple,confiança,eletrônicos",8.8,4,4.7,4.4,4.2,4.3,4.4,4.2,3.6,Compra confortável para tecnologia e acessórios de giro rápido.,Ótima parada para comparação com Shopping China e Nissei.,TRUE,FALSE,FALSE,review,to_verify,,,,,,,,,,,,,,,,,,,,
stores,store-nissei,Nissei,nissei,Tecnologia,"Casa,Primeira Viagem","Operação forte em eletrônicos, casa e itens de conveniência.",Loja relevante para quem quer combinar tecnologia com utilidades e itens de casa em uma rota mais enxuta e funcional.,Ciudad del Este,Paraguai,Centro de Ciudad del Este,,,https://maps.google.com/?q=Nissei+Ciudad+del+Este,,,https://nissei.com.py,to_verify,,"Seg a sáb, 07:00-15:30","Cartão,Dinheiro,Dólar,Guarani",Varia conforme a unidade; melhor planejar chegada cedo.,TRUE,TRUE,FALSE,FALSE,to_verify,"Eletroportáteis,Acessórios tech,Itens de casa","Philips,Electrolux,Xiaomi","mix amplo,casa,eletrônicos",8.5,4.3,4.4,4.4,4,4.1,4.2,3.7,3.4,"Boa relação entre variedade, preço e praticidade.",Funciona bem como loja coringa no meio da rota.,TRUE,FALSE,FALSE,review,to_verify,,,,,,,,,,,,,,,,,,,,
stores,store-mega-eletronicos,Mega Eletrônicos,mega-eletronicos,Tecnologia,"Atacado,Revenda",Foco em preço agressivo para eletrônicos e oportunidades de giro.,"Mais relevante para quem quer margem, comparação rápida e compra orientada por lista, especialmente em viagens com cabeça de revenda.",Ciudad del Este,Paraguai,Microcentro de Ciudad del Este,,,https://maps.google.com/?q=Mega+Eletronicos+Ciudad+del+Este,https://instagram.com/megaeletronicos,,,to_verify,,"Seg a sáb, 07:00-16:00","Dinheiro,Dólar,Transferência",Estacionamento mais limitado; ideal ir cedo.,to_verify,to_verify,TRUE,FALSE,to_verify,"Smartphones Android,Caixas de som,Acessórios,Informática","Xiaomi,Samsung,JBL","revenda,preço,eletrônicos",8.3,4.5,4.1,4.2,3.8,3.9,4.1,3.4,4.4,Atrativa para quem quer margem e compra com velocidade.,Mais comercial do que premium; vale para roteiros de revenda.,TRUE,FALSE,FALSE,review,to_verify,,,,,,,,,,,,,,,,,,,,
stores,store-new-zone,New Zone,new-zone,Tecnologia,Games,Mix interessante para eletrônicos e presentes com navegação simples.,Alternativa para quem quer escapar dos nomes mais óbvios sem perder estrutura básica. Faz sentido em compras pontuais e busca de oportunidade.,Ciudad del Este,Paraguai,Galeria no centro de Ciudad del Este,,,https://maps.google.com/?q=New+Zone+Ciudad+del+Este,,,,to_verify,,"Seg a sáb, 07:00-15:30","Dinheiro,Cartão",Rotatividade rápida em estacionamentos próximos.,to_verify,to_verify,FALSE,FALSE,to_verify,"Fones,Periféricos,Itens gamer","HyperX,Redragon,to_verify","tech,games,oportunidade",7.9,4.2,4,3.9,3.8,3.7,4,3.4,3.7,Boa para caça de oportunidade e compra complementar.,Entrar somente depois de validar contatos e operação oficial.,FALSE,FALSE,FALSE,review,to_verify,,,,,,,,,,,,,,,,,,,,
suppliers,supplier-apple-hub-py,Apple Hub PY,apple-hub-py,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,"Dólar,Transferência",,,,TRUE,FALSE,,,Apple,,8.2,,,,,,,,,,Cadastro inicial; validar contato antes de liberar ao público.,,,TRUE,draft,to_verify,Apple,"Fornecedor focado em iPhone, AirPods e acessórios de giro para revenda leve.",A partir de 5 unidades,"Apple,Acessórios",,,,,,,,,,,,,,,,
suppliers,supplier-perfume-depot,Perfume Depot,perfume-depot,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,"Dólar,Dinheiro",,,,TRUE,TRUE,,,to_verify,,8,,,,,,,,,,"Promissor para Source Premium, mas ainda sem validação completa.",,,TRUE,draft,to_verify,Perfumes,Mix de fragrâncias com foco em lotes comerciais e giro rápido.,Caixa fechada por marca,"Perfumes,Cosméticos",,,,,,,,,,,,,,,,
suppliers,supplier-game-wholesale,Game Wholesale,game-wholesale,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,to_verify,,,"Dólar,Crédito empresarial",,,,TRUE,FALSE,,,"Sony,Nintendo,Xbox",,7.9,,,,,,,,,,Boa frente para coleção Missão Gamer e Source Premium.,,,TRUE,draft,to_verify,Games,"Consoles, periféricos e acessórios com leitura de revenda.",A partir de USD 500,"Games,Periféricos",,,,,,,,,,,,,,,,
restaurants,restaurant-la-petisqueira,La Petisqueira,la-petisqueira,,,,,Ciudad del Este,Paraguai,Próximo ao eixo comercial central,,,https://maps.google.com/?q=La+Petisqueira+Ciudad+del+Este,,,,to_verify,,to_verify,,to_verify,,,,,,,,,7.8,,,,,,,,,,Boa referência inicial para alimentação em roteiro de compras.,,,,review,to_verify,,Parada estratégica para almoço ou pausa no meio da missão de compras.,,,"Brasileira,Petiscos",$$,"Almoço,Pausa de rota,Primeira viagem",,,,,,,,,,,,,
restaurants,restaurant-sax-cafe,SAX Café,sax-cafe,,,,,Ciudad del Este,Paraguai,to_verify,,,,,,,,,to_verify,,to_verify,,,,,,,,,7.5,,,,,,,,,,Entrar somente após validar operação atual e nome oficial.,,,,draft,to_verify,,Ponto de pausa premium para reuniões rápidas e descanso no meio do roteiro.,,,"Café,Doces",$$,"Café,Espera curta,Reuniões",,,,,,,,,,,,,
