entity_type,id,name,slug,main_category,secondary_categories,short_description,full_description,city,country,address,latitude,longitude,google_maps_url,instagram_url,facebook_url,website_url,whatsapp,phone,opening_hours,payment_methods,parking_info,has_air_conditioning,has_restroom,sells_wholesale,ships_to_brazil,warranty_info,recommended_products,brands,tags,frontier_score,price_score,trust_score,variety_score,service_score,warranty_score,location_score,parking_score,wholesale_score,review_summary,frontier_note,is_featured,is_partner,is_premium,status,last_verified_at
stores,store-shopping-china,Shopping China,shopping-china,tecnologia,"perfumes,moda,casa,gastronomia,games,automotivo,estacionamento","Loja de Departamentos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A Shopping China é uma empresa familiar, fundada em 1933, na cidade de Pedro Juan Caballero - Paraguai. Atualmente possui mais de 1.800 funcionários em 4 filiais e ao longo de sua história também se expandiu para países como o Uruguai e a Bolívia. A empresa se tornou referência de excelência no mercado de produtos importados e se orgulha de oferecer produtos de alta qualidade.",Ciudad del Este,Paraguai,Shopping China - Ciudad del Este,-25.515006270714938,-54.60618728763379,"https://maps.google.com/?q=-25.515006270714938,-54.60618728763379",https://www.instagram.com/shoppingchinaimportados/?hl=pt-br,https://www.facebook.com/shoppingchinaimportados,https://www.shoppingchina.com.br/,595981920902,0615977000,De Segunda a Domingo das 07:00 - 20:00,Cartão,Compras Paraguai indica disponibilidade de estacionamento; validar detalhes no local.,to_verify,TRUE,to_verify,to_verify,"A Garantia para os produtos do Shopping China Importados é de 30 dias a partir da data de compra que consta na sua Nota Fiscal, em caso de qualquer inconveniente dentro desses 30 dias com o produto adquirido em nossas lojas, o cliente, além de apresentar sua Nota / Fatura Fiscal Original da Compra (ticket), assim também o produto não deve conter riscos, sinais de quebra ou uso indevido, selo de garantia e número de série não cumpridos, e tentativas de atualização de Software e Firmware, ou seja, o produto deve estar em perfeitas condições e com todos os manuais e acessórios na embalagem original. | https://compras.shoppingchina.com.py/garantia","Alimentos,Bebidas,Suplemento Alimentar,Som e Video Automotivo,Central Multimídia,Ar Condicionado,Eletrodomésticos,Eletrônicos",,"compras-paraguai,perfumes,moda,casa,gastronomia,games,automotivo,estacionamento,premium-listing,restaurante,bebedouro,banheiro,possui-internet-no-local,aceita-cartao",,,,,,,,,,"25990 avaliações visíveis no Compras Paraguai, aprovação visual de 90%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-visaovip,Visãovip,visaovip,tecnologia,,"Loja de Informática listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Fundada em 2008 por profissionais com mais de 25 anos de experiência no mercado paraguaio, a Visãovip Informática, localizada em Ciudad del Este – Paraguai, é referência na venda de produtos de informática, hardware, periféricos e acessórios de tecnologia. Nosso sucesso vem de uma empresa obcecada por qualidade no atendimento, variedade de produtos, rapidez na entrega, garantia exclusiva e respeito ao consumidor.

Atendemos clientes, empresas e gamers, oferecendo soluções confiáveis e a melhor experiência de compra em informática no Paraguai.

Para quem busca especialistas em informática em Ciudad del Este, a escolha certa é VisãoVip!",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 4° andar - Ciudad del Este,-25.510634,-54.609314,"https://maps.google.com/?q=-25.510634,-54.609314",https://www.instagram.com/visaovipinformatica/,https://www.facebook.com/visaovipinformatica/,http://www.visaovip.com/,595972501748,+59561501748,De Segunda a Sexta das 07:00 - 16:00 | Sábado das 07:00 - 15:00,Cartão,to_verify,to_verify,TRUE,to_verify,to_verify,"A VisãoVip Informática trabalha com transparência, qualidade e autenticidade em todas as compras realizadas por nossos clientes. Todos os nossos produtos contam com garantia direta em nossa loja, oferecendo segurança, confiabilidade e tranquilidade na sua compra.

Além disso, alguns produtos também contam com suporte direto das marcas oficiais, garantindo ainda mais confiança e respaldo para quem escolhe a Visãovip.

Para mais informações e detalhes, acesse nosso site: www.visaovip.com | https://www.visaovip.com/garantia","Informática,Memória RAM,Placa de Video,Placa Mãe,Fone de Ouvido / Headset,Mouse,Computador,Monitor",,"compras-paraguai,premium-listing,bebedouro,banheiro,possui-internet-no-local,aceita-cartao,aceita-pix",,,,,,,,,,"1243 avaliações visíveis no Compras Paraguai, aprovação visual de 94%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-cellshop,Cellshop,cellshop,tecnologia,"perfumes,moda,games,casa,automotivo,gastronomia,estacionamento","Loja de Departamentos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A Cellshop Importados Paraguay, em Ciudad del Este, é uma loja de 5 andares com mais de 7.000 metros quadrados e 10 departamentos, tais como: eletrônicos, perfumaria e cosméticos, bebidas e alimentos, sex shop, moda casual e acessórios, esportes, suplementos e vitaminas, moda infantil e brinquedos, bem como pesca, camping e aventura. Reconhecida por oferecer produtos de qualidade e pelo atendimento especializado, a Cellshop é uma das lojas mais visitadas da fronteira. Além de oferecer diversas formas de pagamento, como Pix e parcelamento no cartão de crédito brasileiro.",Ciudad del Este,Paraguai,Shopping Ibiza - Térreo - Ciudad del Este,-25.510349,-54.610702,"https://maps.google.com/?q=-25.510349,-54.610702",https://www.instagram.com/cellshop.oficial,https://www.facebook.com/cellshop.py,http://www.cellshop.com/labs/lista/arquivo/listagem_precos.txt,595994193150,+59561501474,De Segunda a Sexta das 06:30 - 17:00 | Sábado das 06:00 - 16:30 | Domingo das 08:00 - 14:00,Cartão,Compras Paraguai indica disponibilidade de estacionamento; validar detalhes no local.,to_verify,TRUE,to_verify,to_verify,http://www.cellshop.com/v2/br/content/14-garantia,"Alimentos,Bebidas,Suplemento Alimentar,Central Multimídia,Eletrônicos,TV,Celular,Caixa de Som",,"compras-paraguai,perfumes,moda,games,casa,automotivo,gastronomia,estacionamento,premium-listing,bebedouro,banheiro,possui-internet-no-local,faz-vendas-online,aceita-cartao",,,,,,,,,,"20223 avaliações visíveis no Compras Paraguai, aprovação visual de 90%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-mobile-zone,Mobile Zone,mobile-zone,tecnologia,"games,moda","Loja de Celulares listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A Mobile Zone International Import Export SRL é uma empresa paraguaia com 12 anos de experiência e excelência, dedicada à importação, exportação e venda de telefones móveis e eletrônicos em geral, oferecendo aos nossos clientes preços competitivos e um serviço personalizado na área de vendas, consultoria pessoal a fim de proporcionar a melhor satisfação e experiência. Também temos o departamento técnico e pessoal, certificado com ampla experiência em soluções técnicas.",Ciudad del Este,Paraguai,Galeria Jebai Center - loja Sala 2202 - Ciudad del Este,-25.50995,-54.61,"https://maps.google.com/?q=-25.50995,-54.61",https://www.instagram.com/mobilezonepy/,https://www.facebook.com/mobilezonepy,http://mobilezone.com.br/lista,595994195710,+59561511041,De Segunda a Sábado das 06:00 - 16:00,,to_verify,to_verify,to_verify,to_verify,to_verify,,"Eletrônicos,GPS,TV,Celular,Caixa de Som,Receptor,Câmera Digital,Filmadora",,"compras-paraguai,games,moda,premium-listing",,,,,,,,,,"367 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-elegancia-company,Elegancia Company,elegancia-company,perfumes,,"Loja de Perfumes, Beleza e Bolsas listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Com uma década completa de história, a Elegancia Company é especializada em produtos que inspiram a beleza. Localizada em Ciudad del Este - Paraguai, conta com vários andares de loja em um único local, unificado, para maior comodidade dos seus clientes. Preparadas para atender tanto ao público varejista, quanto ao atacadista, a Elegancia Company se estabeleceu como uma loja que inspira a beleza na Região Trinacional.

A Elegancia Company possui um diferenciado mix de produtos nos setores de perfumaria, cosméticos e maquiagem. Com políticas de vendas firmemente atreladas aos valores da ética e da responsabilidade junto aos seus clientes e amigos, a empresa oferece atendimento diferenciado, através de uma equipe preparada, preço justo e completa infraestrutura.

Sempre atenta às tendências do mercado, a Elegancia Company tornou-se referência no que diz respeito à qualidade e beleza. A empresa possui um vasto catálogo de produtos, trabalhando com marcas de renome mundial e com garantia de procedência.

Ciente de seu papel social, a Elegancia Company ainda se preocupa com a comunidade, realizando ações não somente no Paraguai - onde está sua estrutura física, como também no Brasil - país onde reside a maioria de seus clientes. O 'Elegancia em Ação' é exemplo disso: lançado em outubro de 2014, o projeto é realizado junto a ONGS e instituições sociais de Foz do Iguaçu e Ciudad del Este, promovendo um dia de atividades sociais, culturais e esportivas para crianças da região.",Ciudad del Este,Paraguai,Edifício Victoria - Térreo - Ciudad del Este,-25.51101,-54.611452,"https://maps.google.com/?q=-25.51101,-54.611452",https://www.instagram.com/eleganciacompany/,https://www.instagram.com/eleganciacompany/,http://www.eleganciacompany.com/,595972588700,,De Segunda a Sexta das 06:30 - 16:00 | Sábado das 06:00 - 15:00,Cartão,to_verify,to_verify,TRUE,to_verify,to_verify,"A Elegancia Company trabalha apenas com produtos originais e de qualidade, logo, ofereceo respaldo necessário a seus consumidores.

Na empresa o sistema de troca funciona da seguinte forma:

A troca será feita apenas mediante a apresentação da nota de retirada obrigatória, em umprazo de até 15 dias.

A empresa não realizará a troca de produtos que apresentem os seguintes defeitos:- vaporizador quebrado;- menos de 80% do produto;- frasco quebrado;- produtos sem embalagem original ou com caixa em más condições;- produtos sem o celofane e sem o selo de procedência Elegancia Company;- produto com lote adulterado;- Falta de fixação;Ainda sobre as políticas de troca de mercadoria:- O contato com o vendedor ou responsável para a troca deve ser feito em até 15 dias apósa compra do produto. Passado este prazo, o consumidor perde seu direito de requisitar asubstituição do item;- É necessário apresentar a nota de retirada de mercadoria e celofane com o selo deprocedência Elegancia Company, para a realização de eventuais trocas de produtos eoutros tipos de assistência prestados pela empresa (as notas são todas digitalizadas comRUC da empresa);- A Elegancia Company não realiza devoluções em dinheiro;- Produtos adquiridos nas promoções como Beauty Friday, em setores de liquidaçãoou na Outlet não dão direito a troca. É de interesse total do cliente que verifique o produtoantes ou na hora de retirá-lo do pacote, realizando assim a troca imediatamente.Para trocar itens adquiridos é preciso, portanto, que o objeto esteja em perfeito estado deconservação, como quando saiu da loja e com a embalagem bem preservada.É de total responsabilidade do consumidor conferir sua mercadoria e nota fiscal no pacote.A empresa não se responsabiliza por eventuais contratempos com os itens adquiridos apósretirados da loja.

Para o contato online para troca de produtos é necessário enviar fotos da(s) nota(s) decompra e do(s) produto(s) via inbox na página oficial da Elegancia Company no Facebook.

O setor de SAC da Elegancia Company localiza-se no 2º piso do Edifício Victoria, ondeestão situadas TODAS as lojas oficiais da empresa, que unificou seus espaços em 2018.","Cosmético,Perfume,Maquiagem",,"compras-paraguai,premium-listing,bebedouro,banheiro,possui-internet-no-local,aceita-cartao,aceita-pix",,,,,,,,,,"813 avaliações visíveis no Compras Paraguai, aprovação visual de 84%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-atacado-connect,Atacado Connect,atacado-connect,tecnologia,games,"Loja de Video Games listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A Atacado Games está localizada em Cidade do Leste (Paraguai), desde 1995, e é uma loja especialista em venda de equipamentos de informática, games e produtos em geral. Atualmente, nosso estoque conta com mais de 13 mil produtos de quase 400 marcas diferentes, que vão desde pilhas para controle remoto até computadores de última geração. Somos distribuidor oficial de várias marcas importantes, como Redragon, Nintendo, Razer, Patriot, Corsair, Colorful, Goline, Afox, entre outras.",Ciudad del Este,Paraguai,Galeria Jebai Center - 3° andar - Ciudad del Este,-25.51077,-54.610112,"https://maps.google.com/?q=-25.51077,-54.610112",https://www.instagram.com/atkdconnect/,https://www.facebook.com/ATKDOCONNECT,https://www.atacadogames.com/lista-preco,595983147295,+595983624886,De Segunda a Sexta das 06:00 - 16:00 | Sábado das 05:30 - 15:30,Cartão,to_verify,to_verify,to_verify,TRUE,to_verify,https://www.atacadogames.com/garantia,"Eletrônicos,TV,Celular,Caixa de Som,Receptor,Videogame,Games,Informática",,"compras-paraguai,games,premium-listing,bebedouro,possui-internet-no-local,aceita-cartao",,,,,,,,,,"6073 avaliações visíveis no Compras Paraguai, aprovação visual de 92%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-flytec-computers,Flytec Computers,flytec-computers,tecnologia,,"Loja de Informática listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A FLYTEC COMPUTERS é uma companhia de wireless Technologies e informática, que atua no mercado de Ciudad del Este, disponibilizando aos clientes produtos das melhores marcas, os melhores preços, garantias e amplo espaço para entregas.Desde 1995, a Flytec Computers tem-se mostrado uma empresa segura e competente.Desde o inicio sua principal preocupação foi montar uma empresa sólida, calçada na seriedade e profissionalismo de atuação no mercado. Este foi o elemento preponderante para estabilidade da empresa no mercado e destaque na área de wireless.",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 2° andar - loja Sala 212 - Ciudad del Este,-25.510628,-54.609146,"https://maps.google.com/?q=-25.510628,-54.609146",https://www.instagram.com/flyteccomputers/,https://www.facebook.com/Flytec-Computers-156795911111554/,http://www.flytec.com.py/listapreco/html.php,595975852894,,,,to_verify,to_verify,to_verify,to_verify,to_verify,http://www.flytec.com.py/garantia,Informática,,"compras-paraguai,premium-listing",,,,,,,,,,"242 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-la-petisquera,La Petisquera,la-petisquera,moda,"perfumes,tecnologia,casa,gastronomia","Loja de Departamentos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Em 1970, sem saber o que se tornaria um dos pioneiros no mercado para importados e pensar sobre a prosperidade da região, os fundadores criaram a base do grupo, criando a Petisquera SRL, a fim de oferecer produtos premium importadas, Com Qualidade e Proveniência aos seus clientes.

Desde então, até hoje, La Petisquera é uma referência para todos os compradores que chegam à Ciudad del Este.

O grande crescimento da região fez com que o grupo fizesse novas modalidades para possibilitar um melhor atendimento ao mercado. Para isso, a importadora Mannah SRL foi criada em 1989, importando os produtos diretamente de seu país de origem. Desde a sua criação até hoje, a empresa oferece, como representante e importador, produtos de marcas reconhecidas em todo o mundo.",Ciudad del Este,Paraguai,Shopping Del Este - loja 20 - Ciudad del Este,-25.509983,-54.605387,"https://maps.google.com/?q=-25.509983,-54.605387",https://www.instagram.com/lapetisquera/,https://www.facebook.com/LaPetisquera/,https://lapetisquera.com.py/,595974567001,59561500886,De Segunda a Sábado das 08:00 - 18:00 | Domingo das 08:00 - 17:00,Cartão,to_verify,to_verify,TRUE,to_verify,to_verify,,"Alimentos,Bebidas,Tabacaria,Cosmético,Perfume,Roupas,Óculos,Relógio",,"compras-paraguai,perfumes,tecnologia,casa,gastronomia,premium-listing,bebedouro,banheiro,possui-internet-no-local,aceita-cartao,aberto-aos-domingos,cafe",,,,,,,,,,"947 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-multipass,MultiPass,multipass,tecnologia,"perfumes,moda","Loja de Eletrônicos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","MultiPass aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Av. Monseñor Rodriguez 1022 - Ciudad del Este,-25.510094,-54.60754,"https://maps.google.com/?q=-25.510094,-54.60754",,,https://multipass.com.py/,595993275128,,,,to_verify,to_verify,to_verify,to_verify,to_verify,,"Suplemento Alimentar,Celular,Caixa de Som,Receptor,Fone de Ouvido / Headset,Cosmético,Perfume,Shampoo e Condicionador",,"compras-paraguai,perfumes,moda,premium-listing,bebedouro,possui-internet-no-local",,,,,,,,,,"138 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-star-company,Star Company,star-company,tecnologia,,"Loja de Eletrônicos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Star Company aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Galeria Jebai Center - 1° andar - loja LOJA 2017 - Ciudad del Este,-25.510803,-54.609978,"https://maps.google.com/?q=-25.510803,-54.609978",https://www.instagram.com/starcompanypy.oficial/,,https://www.starcompany-py.com/,595994365874,+595991959017,De Segunda a Sexta das 07:30 - 16:30 | Sábado das 07:30 - 15:00,,to_verify,to_verify,TRUE,to_verify,to_verify,,,,"compras-paraguai,premium-listing,bebedouro,banheiro,possui-internet-no-local,faz-vendas-online,cafe,aceita-pix",,,,,,,,,,"374 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",TRUE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
