entity_type,id,name,slug,main_category,secondary_categories,short_description,full_description,city,country,address,latitude,longitude,google_maps_url,instagram_url,facebook_url,website_url,whatsapp,phone,opening_hours,payment_methods,parking_info,has_air_conditioning,has_restroom,sells_wholesale,ships_to_brazil,warranty_info,recommended_products,brands,tags,frontier_score,price_score,trust_score,variety_score,service_score,warranty_score,location_score,parking_score,wholesale_score,review_summary,frontier_note,is_featured,is_partner,is_premium,status,last_verified_at
stores,store-icompy,Icompy,icompy,tecnologia,games,"Loja de Informática listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Em 13 de maio de 1992, a família Wei decide por iniciar uma empresa de informática. Foi então que tudo começou.Com muita garra e persistência, os sócios não mediram esforços.Atualmente a empresa e fortemente reconhecida no mercado e contribui o desenvolvimento de Cidade do Leste. Vem trabalhando de forma a estreitar relacionamentos entre empresas do MERCOSUL.",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 4° andar - Ciudad del Este,-25.510792,-54.609377,"https://maps.google.com/?q=-25.510792,-54.609377",https://www.instagram.com/icompyinformatica/,https://www.facebook.com/IcompyInformatica/,http://www.icompy.com/lista/lista.txt,595983166032,+59561504555,De Segunda a Sexta das 06:00 - 15:00 | Sábado das 06:00 - 14:30,,to_verify,to_verify,to_verify,to_verify,to_verify,"Todos os produtos para que sejam aceitos pelo RMA (Departamento de Garantia) deverão estar em total integridade física, sendo isso entendido como:

- Não podem apresentar sinais como batidas, com riscos, trilhas cortadas e falta de componentes.- Não podem estar com o prazo de garantia vencido;- Não podem estar queimados, quebrados nem manchados;- Acessórios não tem garantia, como fontes, baterias, cabos (tem que verificar e testá-los no ato da entrega).- Qualquer etiqueta no produto não devera sofrer nenhum tipo de violação.- Todos os acessórios devem acompanhar o produto, e devem atender as mesmas condições.- Não deve tentar abrir o produto para efetuar algum tipo de reparo, perdendo assim o direito da garantia.- Apresentar a nota fiscal para ter acesso à garantia.- A garantia não cobre mau uso.- Notebooks e celulares com defeitos na tela como linhas, manchas, riscos não tem garantia.- Sempre fazer teste na retirada dos produtos. | http://icompy.com/content/2-garantia","Eletrônicos,TV,Celular,Caixa de Som,Games,Informática,Computador,Rede & Wireless",,"compras-paraguai,games",,,,,,,,,,"89 avaliações visíveis no Compras Paraguai, aprovação visual de 86%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-star-games,Star Games,star-games,tecnologia,games,"Loja de Video Games listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Star Games aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Galeria Jebai Center - 3° andar - loja Sala 3264 - Ciudad del Este,-25.510734,-54.61007,"https://maps.google.com/?q=-25.510734,-54.61007",https://www.instagram.com/stargamesparaguay/,https://www.facebook.com/StarGamesPY/,http://stargamespy.com/,595994332020,0059561514783,De Segunda a Sábado das 07:00 - 16:00,Cartão,to_verify,to_verify,to_verify,to_verify,to_verify,,"Eletrônicos,Celular,Caixa de Som,Receptor,Videogame,Games,Informática",,"compras-paraguai,games,possui-internet-no-local,aceita-cartao",,,,,,,,,,"182 avaliações visíveis no Compras Paraguai, aprovação visual de 92%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-matrixcom,Matrix.com,matrixcom,tecnologia,,"Loja de Informática listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Matrix.com aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 3° andar - Ciudad del Este,-25.510761,-54.609129,"https://maps.google.com/?q=-25.510761,-54.609129",,https://www.facebook.com/matrixshoppy/?fref=ts,http://matrix.com.py/lista_preco_html.php,595973695424,+595061511155,De Segunda a Sábado das 07:00 - 16:00,Cartão,to_verify,to_verify,to_verify,to_verify,to_verify,,,,"compras-paraguai,aceita-cartao",,,,,,,,,,"31 avaliações visíveis no Compras Paraguai, aprovação visual de 72%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-victoria-store,Victoria Store,victoria-store,tecnologia,"moda,games","Loja de Eletrônicos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Empresa fundada no ano 2010 em Ciudad del Este Paraguay, a Victoria Impex inicia suas atividades com foco no atacado em eletronicos, acessórios, óculos e relógios.

Em 2015, a empresa passa a atuar também no canal de vendas de varejo, é a aberta a primeira loja Victoria Store no Shopping Internacional.

2018, com aproximadamente 8 anos no mercado a Victoria está sempre buscando novas marcas e produtos para melhor atender a todos seus clientes, e também continua a oferecer serviços e atendimento de forma personalizada.",Ciudad del Este,Paraguai,Shopping Internacional - 1° andar - loja Sala 07 - Ciudad del Este,-25.511297,-54.608277,"https://maps.google.com/?q=-25.511297,-54.608277",https://www.instagram.com/victoriastorepy/,https://www.facebook.com/victoriastorepy,http://www.victoriastore.com.py/listas/txt/,595994332406,+595975512746,De Segunda a Sexta das 07:00 - 16:00 | Sábado das 06:30 - 16:30,,to_verify,to_verify,to_verify,to_verify,to_verify,,"Eletrônicos,Celular,Caixa de Som,Receptor,Filmadora,Games,Rede & Wireless,Notebook",,"compras-paraguai,moda,games",,,,,,,,,,"591 avaliações visíveis no Compras Paraguai, aprovação visual de 82%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-hb-import,HB Import,hb-import,tecnologia,"games,perfumes,casa","Loja de Video Games listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Bem vindo a HB Games, seu mundo dos Games, Eletrônicos, Smartphones, Tablets e muito mais em Ciudad del Este - Paraguay.

Temos a maior variedade com o melhor preço do mercado. Todos os lançamentos você encontra aqui.

Consoles, Jogos, Controles, Hoverboards, Headsets, Volantes, Mouse, Teclados, Speakers, Carregadores Power Bank, Amiibos, Furby, capa para celulares e muito mais.

Visite-nos.",Ciudad del Este,Paraguai,Galeria Jebai Center - 2° andar - loja 3155/3157 - Ciudad del Este,-25.51064,-54.609988,"https://maps.google.com/?q=-25.51064,-54.609988",https://www.instagram.com/hbimportpy,https://www.facebook.com/hbimportpy,https://hbimport.com/comprasparaguai,595984669884,+595984669884,De Segunda a Sábado das 07:00 - 16:00,,to_verify,to_verify,to_verify,to_verify,to_verify,,"Ar Condicionado,Eletrônicos,TV,Celular,Caixa de Som,Receptor,Filmadora,Videogame",,"compras-paraguai,games,perfumes,casa",,,,,,,,,,"162 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-macedonia,Macedonia,macedonia,perfumes,"moda,tecnologia,casa,gastronomia","Loja de Departamentos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Em 1988 Macedônia inaugurou a sua primeira loja de importados visando atender o grande fluxo de turistas que circulam pela fronteira, rapidamente a Macedônia se destacou no mercado devido à seriedade no compromisso com seus clientes, provedores e colaboradores tornando a loja cada vez mais agradável e fazendo com que todos se sintam parte dela.

Somando a qualidade de seus produtos, com preços baixos, equipe altamente treinada, infraestrutura moderna, dinamismo na inovação de espaços e produtos e sempre dispondo as novidades do comercio, a Macedônia tornou-se líder no mercado de multissessões como sinônimo de garantia e confiabilidade no Paraguai.

Sendo um grupo sólido com a característica de excelência em atendimento, mantendo sempre suas tradições e origens, a empresa tornou-se ponto de referencia de marcas internacionais que buscam impulsionar e posicionar seus produtos no mercado altamente competitivo da tríplice fronteira.

Além de lojas amplas com sessões bem definidas e uma exposição adequada valorizando a importância dos produtos no show room, a Macedônia dá completo suporte às marcas e maior comodidade aos seus clientes que contam com colaboradores experientes, treinados e especializados em cada sessão, capazes de orientar e passar todas as informações necessárias de cada produto.",Ciudad del Este,Paraguai,Shopping Del Este - loja 111 / 130 - Ciudad del Este,-25.510044,-54.605566,"https://maps.google.com/?q=-25.510044,-54.605566",https://www.instagram.com/macedonia.paraguai,https://www.facebook.com/macedoniaparaguai,https://macedonia.com.py/,595973252925,+59561510060,De Segunda a Sábado das 08:00 - 17:00,,to_verify,to_verify,to_verify,to_verify,to_verify,,"Bebidas,Brinquedos,Perfume,Maquiagem,Óculos,Relógio",,"compras-paraguai,moda,tecnologia,casa,gastronomia",,,,,,,,,,"87 avaliações visíveis no Compras Paraguai, aprovação visual de 86%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-alborada,Alborada,alborada,tecnologia,"perfumes,games","Loja de Informática listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A nossa história em atender da melhor maneira às necessidades dos clientes é feita desde 1969, quando um comerciante de origem libanesa fixou residência nessa região e se aventurou a vender produtos importados aos turistas que visitavam o Paraguai em sua loja, a Casa Alborada. Em 1997 a loja aumentou, modernizou-se e mostrou que estava pronta para conquistar novos clientes e além de manter, conseguiu elevar o prestígio dentro do mercado de Cidade do Leste, consolidando o trabalho que comecou em 1994. Era um dos melhores pontos para se comprar eletrônicos, bebidas perfumes e cosméticos dessa cidade, numa época onde sobravam opções de compra, a Casa Alborada se destacou pela eficiência e boas ofertas, fazendo juz ao legado de seu fundador.",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 2° andar - loja 201 - Ciudad del Este,-25.510815,-54.609097,"https://maps.google.com/?q=-25.510815,-54.609097",https://www.instagram.com/alboradapy/,https://www.facebook.com/alborada.paraguai,http://www.alboradainfo.com/,59561501786,4540539869,De Segunda a Sábado das 07:00 - 16:00,,to_verify,to_verify,TRUE,to_verify,to_verify,"Para que sejam aceitos pelo departamento de garantia (R.M.A.), todos os produtos listados com garantia deverão estar em total integridade física, sendo isso entendido como:

A garantia deverá ser acionada na Assistência Tecnica R.M.A., entre o 4º e 5º piso do Shopping Lai Lai, onde será feita uma avaliação de 2 horas, para validar a garantia do produto ou orçamento. A garantia do produto não será coberta de outra forma. Discos Rígidos (HDs) com defeito que retornem para troca, serão substituídos por HDs recondicionados de fábrica de mesma capacidade e marca. NÃO podem apresentar sinais como batidas, riscos, trilhas cortadas e falta de componentes. NÃO podem estar queimados, quebrados e manchados. Acessórios não tem garantia, tais como fontes , baterias , cabos ( é necessário verificar e testá-los no ato da entrega ). Qualquer etiqueta presente no corpo do produto não deverá sofrer nenhum tipo de violação. O cliente não deve tentar abrir o produto para efetuar algum tipo de reparo, perdendo assim o direito da garantia. Todos os acessórios devem acompanhar os produtos, e devem atender às mesmas condições. O código de barras gravado nos produtos deve estar em perfeito estado, não apresentando nenhum tipo de rasura. Apresentação de nota fiscal para ter acesso a garantia . A Garantia NÃO cobre mau uso. Para troca de Fones, apenas se for defeito de fabrica e tiver disponibilidade do mesmo no fornecedor. Notebook com defeitos na tela como linhas, manchas, riscos NÃO tem garantia. Celulares com defeitos na tela como linhas, manchas, riscos NÃO tem garantia. Fazer o teste na retirada. | http://www.alboradainfo.com/home/garantia.php","Celular,Receptor,Games,Informática,Fonte,Memória RAM,Placa de Video,Placa Mãe",,"compras-paraguai,perfumes,games,bebedouro,banheiro,possui-internet-no-local",,,,,,,,,,"159 avaliações visíveis no Compras Paraguai, aprovação visual de 94%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-computech,Computech,computech,tecnologia,"games,casa","Loja de Eletrônicos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","A COMPUTECH esta no mercado de venda de eletrônicos desde 2017. Localizada em Ciudad del Este Paraguai, centro comercial da América Latina, a COMPUTECH destaca-se por trabalhar com uma equipe altamente qualificada e com as maiores marcas do mercado Mundial.Contamos com uma equipe de mais de 40 profissionais dos mais para auxiliar nossos clientes em suas escolhas e suas compras.A nossa Loja é destinada para pessoas como você que sempre está em busca do novo com os melhores preços. A prestação dos melhores serviços aos nossos clientes é o que nos move.",Ciudad del Este,Paraguai,Shopping Vendome - 2° andar - loja Sala 230 - Ciudad del Este,-25.510963,-54.609178,"https://maps.google.com/?q=-25.510963,-54.609178",https://www.instagram.com/computechpyoficial/,https://www.facebook.com/ComputechPy/,http://www.computech.com.py/lista-de-produtos.txt,595973700800,+59561509339,De Segunda a Sexta das 07:30 - 16:00 | Sábado das 07:00 - 14:00,,to_verify,to_verify,to_verify,to_verify,to_verify,"Todos os produtos para que sejam aceitos pelo RMA (Departamento de Garantia) deverão estar em total integridade física, sendo isso entendido como:

- Não podem apresentar sinais como batidas, com riscos, trilhas cortadas e falta de componentes.- Não podem estar com o prazo de garantia vencido;- Não podem estar queimados, quebrados nem manchados;- Acessórios não tem garantia, como fontes, baterias, cabos (tem que verificar e testá-los no ato da entrega).- Qualquer etiqueta no produto não devera sofrer nenhum tipo de violação.- Todos os acessórios devem acompanhar o produto, e devem atender as mesmas condições.- Não deve tentar abrir o produto para efetuar algum tipo de reparo, perdendo assim o direito da garantia.- Apresentar a nota fiscal para ter acesso à garantia.- A garantia não cobre mau uso.- Notebooks e celulares com defeitos na tela como linhas, manchas, riscos não tem garantia.- Sempre fazer teste na retirada dos produtos. | http://www.computech.com.py/garantia","Ar Condicionado,Eletrônicos,TV,Celular,Caixa de Som,Videogame,Games,Informática",,"compras-paraguai,games,casa",,,,,,,,,,"101 avaliações visíveis no Compras Paraguai, aprovação visual de 90%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-pionner-shop,Pionner Shop,pionner-shop,tecnologia,"casa,automotivo,gastronomia,perfumes,estacionamento","Loja de Departamentos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Pionner Shop aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Shopping Vendome - 3° andar - Ciudad del Este,-25.510893,-54.609365,"https://maps.google.com/?q=-25.510893,-54.609365",https://www.instagram.com/pionnershop.py?igsh=MTB2cnQ4NGVpYmF3aQ==,,https://www.pionnershop.com/,595983482428,,,Cartão,Compras Paraguai indica disponibilidade de estacionamento; validar detalhes no local.,to_verify,TRUE,to_verify,to_verify,,"Som e Video Automotivo,Central Multimídia,Ar Condicionado,Eletrônicos,GPS,TV,Celular,Caixa de Som",,"compras-paraguai,casa,automotivo,gastronomia,perfumes,estacionamento,restaurante,bebedouro,banheiro,possui-internet-no-local,aceita-cartao",,,,,,,,,,"669 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-atacado-collections,Atacado Collections,atacado-collections,tecnologia,,"Loja de Colecionáveis listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Redescubra seu conceito sobre Geek Store conhecendo a Atacado Collections, uma loja moderna pensada em ser a morada dos nerds e geeks que a visitam. Especializada na venda de colecionáveis de todos as categorias, temos: Estatuetas, Action Figures, Miniaturas de Carros, Motos e Aviões, e mais.Com toda essa vasta diversidade em produtos colecionáveis nos tornamos a maior loja de colecionáveis da América Latina contendo o maior estoque de Funko do Continente!Venha nos conhecer, não perca essa experiência!

#Funko #Bandai #Caterpillar #Lego #SunStar #Tomy #Mattel",Ciudad del Este,Paraguai,Av. Luis Maria Argaña - Ciudad del Este,-25.51302,-54.607065,"https://maps.google.com/?q=-25.51302,-54.607065",https://www.instagram.com/atacadocollections/,https://www.facebook.com/AtacadoCollections/,https://www.atacadocollections.com/lista-html,595993378642,+5545988152548,De Segunda a Sexta das 07:00 - 16:00 | Sábado das 06:30 - 15:30,Cartão,to_verify,to_verify,TRUE,TRUE,to_verify,Não possui garantina.,Brinquedos,,"compras-paraguai,bebedouro,banheiro,area-de-lazer,possui-internet-no-local,aceita-cartao,cafe",,,,,,,,,,"4551 avaliações visíveis no Compras Paraguai, aprovação visual de 100%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-medical-center,Medical Center,medical-center,tecnologia,,"Loja de Instrumentos Médicos listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Medical Center aparece no Compras Paraguai com categorias, contatos e dados operacionais que ainda devem passar por curadoria do Frontier Atlas.",Ciudad del Este,Paraguai,Galeria Uniamérica - loja 30 - Ciudad del Este,-25.510238,-54.609186,"https://maps.google.com/?q=-25.510238,-54.609186",https://www.instagram.com/medical_centerinstrumentos/,https://www.facebook.com/medicalcenterinstrumentospy/,http://www.medicalcenterpy.com/,,+59561504845,De Segunda a Domingo das 07:30 - 20:00 Ver mais filiais,,to_verify,to_verify,to_verify,to_verify,to_verify,,Saúde,,compras-paraguai,,,,,,,,,,"21 avaliações visíveis no Compras Paraguai, aprovação visual de 88%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
stores,store-flash-importados,Flash Importados,flash-importados,perfumes,gastronomia,"Loja de Alimentos e Bebidas listada no Compras Paraguai, com ficha automatizada para revisão editorial do Frontier Atlas.","Uma empresa familiar, iniciada no ano de 1987, especializada em guloseimas, alimentos variados , bebidas e cosméticos . Atualmente conta com 3 lojas para melhor atender seus clientes em CDE. A loja matriz, pioneira, no Lailai, a loja Flash cosméticos, também no Lailai e a filial no shopping HWU.Sempre oferecendo a maior variedade de produtos e a melhor qualidade para todos.",Ciudad del Este,Paraguai,Shopping Lai Lai Center - 2° andar - loja 209 e 210 - Ciudad del Este,-25.510742,-54.609201,"https://maps.google.com/?q=-25.510742,-54.609201",instagram.com/flashimportadospy,facebook.com/flashimportadfospy,https://www.flashimportados.com/,595994364670,+59561514467,De Segunda a Sexta das 07:00 - 15:30 | Sábado das 06:30 - 15:00,Cartão,to_verify,to_verify,TRUE,to_verify,to_verify,,"Alimentos,Bebidas,Cosmético,Maquiagem",,"compras-paraguai,gastronomia,banheiro,possui-internet-no-local,aceita-cartao,cafe",,,,,,,,,,"213 avaliações visíveis no Compras Paraguai, aprovação visual de 94%.","Importado automaticamente do Compras Paraguai em 2026-06-28. Revisar contato, política comercial e consistência editorial antes de publicar.",FALSE,FALSE,FALSE,draft,2026-06-28T22:04:40.167Z
